x,y
108,112
108,184
108,257
108,402
108,474
108,547
108,619
108,692
108,764
108,836
108,909
108,981
108,40
108,329
146,222
181,40
181,112
181,184
181,257
181,329
181,402
181,474
181,547
181,619
181,692
181,764
181,837
181,909
181,981
253,329
253,39
253,112
253,402
253,619
253,692
253,909
253,981
326,40
326,111
326,329
326,402
326,619
326,692
326,909
326,981
388,970
399,40
399,112
399,184
399,256
399,329
399,402
399,474
399,547
399,619
399,692
399,764
399,837
399,909
472,40
472,112
472,184
472,257
472,329
472,401
472,474
472,547
472,619
472,691
472,764
472,837
472,909
472,981
545,39
545,112
545,329
545,402
545,619
545,691
545,909
545,981
582,512
582,802
617,39
617,112
617,329
617,402
617,619
617,692
617,909
617,981
690,39
690,112
690,184
690,257
690,329
690,402
690,474
690,547
690,619
690,692
690,764
690,837
690,909
701,970
762,256
762,40
762,112
762,184
762,257
762,329
762,402
762,474
762,547
762,619
762,692
762,764
762,837
762,909
762,981
832,406
835,112
835,402
835,619
835,692
835,909
835,981
835,40
835,329
880,543
908,40
908,112
908,329
908,402
908,619
908,691
908,909
908,981
981,329
981,40
981,112
981,184
981,256
981,402
981,474
981,547
981,619
981,692
981,764
981,837
981,909
1053,39
1053,112
1053,184
1053,257
1053,329
1053,402
1053,474
1053,547
1053,619
1053,692
1053,40
1053,764
1053,837
1053,909
1053,981
