x,y
246,64
552,226
552,287
612,226
612,287
673,226
673,286
733,225
733,286
793,225
793,286
854,224
854,285
915,224
915,285
915,345
915,406
915,466
915,526
915,586
915,645
915,704
975,224
975,284
975,345
975,406
975,466
975,525
975,585
975,644
975,704
1035,223
1035,284
1035,345
1035,405
1035,465
1035,525
1035,584
1035,644
1035,703
1097,223
1097,284
1097,344
1097,404
1097,465
1097,524
1097,584
1097,644
1097,703
1157,222
1157,283
1217,222
1217,283
1278,222
1278,283
1338,222
1338,282
1398,222
1398,283
1457,283
1457,223
1728,984
